DATE,TIME,実績(万kW)
2016/4/1,1:00,2426
2016/4/1,2:00,2386
2016/4/1,3:00,2368
2016/4/1,4:00,2382
2016/4/1,5:00,2459
2016/4/1,6:00,2623
2016/4/1,7:00,2767
2016/4/1,8:00,2956
2016/4/1,9:00,3149
2016/4/1,10:00,3201
2016/4/1,11:00,3255
2016/4/1,12:00,3150
2016/4/1,13:00,3278
2016/4/1,14:00,3351
2016/4/1,15:00,3352
2016/4/1,16:00,3395
2016/4/1,17:00,3428
2016/4/1,18:00,3490
2016/4/1,19:00,3370
2016/4/1,20:00,3232
2016/4/1,21:00,3075
2016/4/1,22:00,2964
2016/4/1,23:00,2802
2016/4/2,0:00,2605
2016/4/2,1:00,2484
2016/4/2,2:00,2424
2016/4/2,3:00,2396
2016/4/2,4:00,2383
2016/4/2,5:00,2424
2016/4/2,6:00,2535
2016/4/2,7:00,2725
2016/4/2,8:00,3010
2016/4/2,9:00,3215
2016/4/2,10:00,3248
2016/4/2,11:00,3229
2016/4/2,12:00,3157
2016/4/2,13:00,3102
2016/4/2,14:00,3040
2016/4/2,15:00,3033
2016/4/2,16:00,3089
2016/4/2,17:00,3206
2016/4/2,18:00,3318
2016/4/2,19:00,3266
2016/4/2,20:00,3163
2016/4/2,21:00,2998
2016/4/2,22:00,2847
2016/4/2,23:00,2666
2016/4/3,0:00,2447
2016/4/3,1:00,2318
2016/4/3,2:00,2272
2016/4/3,3:00,2258
2016/4/3,4:00,2246
2016/4/3,5:00,2269
2016/4/3,6:00,2323
2016/4/3,7:00,2485
2016/4/3,8:00,2691
2016/4/3,9:00,2824
2016/4/3,10:00,2826
2016/4/3,11:00,2824
2016/4/3,12:00,2811
2016/4/3,13:00,2729
2016/4/3,14:00,2686
2016/4/3,15:00,2676
2016/4/3,16:00,2746
2016/4/3,17:00,2911
2016/4/3,18:00,3122
2016/4/3,19:00,3104
2016/4/3,20:00,3011
2016/4/3,21:00,2852
2016/4/3,22:00,2682
2016/4/3,23:00,2486
2016/4/4,0:00,2297
2016/4/4,1:00,2199
2016/4/4,2:00,2172
2016/4/4,3:00,2182
2016/4/4,4:00,2209
2016/4/4,5:00,2313
2016/4/4,6:00,2520
2016/4/4,7:00,2826
2016/4/4,8:00,3158
2016/4/4,9:00,3407
2016/4/4,10:00,3469
2016/4/4,11:00,3411
2016/4/4,12:00,3190
2016/4/4,13:00,3313
2016/4/4,14:00,3312
2016/4/4,15:00,3302
2016/4/4,16:00,3339
2016/4/4,17:00,3336
2016/4/4,18:00,3425
2016/4/4,19:00,3327
2016/4/4,20:00,3203
2016/4/4,21:00,3058
2016/4/4,22:00,2973
2016/4/4,23:00,2788
2016/4/5,0:00,2543
2016/4/5,1:00,2420
2016/4/5,2:00,2385
2016/4/5,3:00,2373
2016/4/5,4:00,2407
2016/4/5,5:00,2517
2016/4/5,6:00,2758
2016/4/5,7:00,3046
2016/4/5,8:00,3389
2016/4/5,9:00,3667
2016/4/5,10:00,3736
2016/4/5,11:00,3716
2016/4/5,12:00,3522
2016/4/5,13:00,3659
2016/4/5,14:00,3629
2016/4/5,15:00,3577
2016/4/5,16:00,3568
2016/4/5,17:00,3568
2016/4/5,18:00,3653
2016/4/5,19:00,3548
2016/4/5,20:00,3404
2016/4/5,21:00,3224
2016/4/5,22:00,3126
2016/4/5,23:00,2904
2016/4/6,0:00,2626
2016/4/6,1:00,2488
2016/4/6,2:00,2443
2016/4/6,3:00,2433
2016/4/6,4:00,2470
2016/4/6,5:00,2585
2016/4/6,6:00,2778
2016/4/6,7:00,2946
2016/4/6,8:00,3133
2016/4/6,9:00,3291
2016/4/6,10:00,3294
2016/4/6,11:00,3266
2016/4/6,12:00,3097
2016/4/6,13:00,3206
2016/4/6,14:00,3272
2016/4/6,15:00,3248
2016/4/6,16:00,3260
2016/4/6,17:00,3252
2016/4/6,18:00,3381
2016/4/6,19:00,3309
2016/4/6,20:00,3196
2016/4/6,21:00,3045
2016/4/6,22:00,2939
2016/4/6,23:00,2738
2016/4/7,0:00,2505
2016/4/7,1:00,2379
2016/4/7,2:00,2342
2016/4/7,3:00,2337
2016/4/7,4:00,2359
2016/4/7,5:00,2454
2016/4/7,6:00,2686
2016/4/7,7:00,3001
2016/4/7,8:00,3352
2016/4/7,9:00,3645
2016/4/7,10:00,3753
2016/4/7,11:00,3776
2016/4/7,12:00,3618
2016/4/7,13:00,3728
2016/4/7,14:00,3705
2016/4/7,15:00,3645
2016/4/7,16:00,3643
2016/4/7,17:00,3594
2016/4/7,18:00,3625
2016/4/7,19:00,3487
2016/4/7,20:00,3324
2016/4/7,21:00,3152
2016/4/7,22:00,2999
2016/4/7,23:00,2781
2016/4/8,0:00,2550
2016/4/8,1:00,2433
2016/4/8,2:00,2396
